specialite;delai_median_jours;delai_moyen_jours;source
Médecin généraliste;2;6;DREES enquête délais attente 2016-2017
Pédiatre;21;21;DREES enquête délais attente 2016-2017
Radiologue;21;21;DREES enquête délais attente 2016-2017
Chirurgien-dentiste;30;30;DREES enquête délais attente 2016-2017
Gynécologue;45;45;DREES enquête délais attente 2016-2017
Rhumatologue;45;45;DREES enquête délais attente 2016-2017
Cardiologue;50;50;DREES enquête délais attente 2016-2017
Dermatologue;52;61;DREES enquête délais attente 2016-2017
Ophtalmologue;52;80;DREES enquête délais attente 2016-2017
